"Note","Course","Module","Clip","Time in Clip","URL"
"A comprehension is needed about how the data model is defined through the DbContext maps to the schema of the database. Then, it performs that logic runtime by reading the DbContext and using its own conventions combined with any additional custom mapping information provided to infer the schema of the database, being able to figure it out how to do those interactions; how to build queries to push data to the database; how to transform database results into .NET objects.","Entity Framework Core 2: Getting Started","Creating a Data Model and Database with EF Core","Understanding EF Core Migrations","0:40","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=fa16ecc6-d374-4ad8-af7c-55632114f53a&clip=5&mode=live&start=40.074127&noteid=6321d6b5-3b70-4292-b686-7e3845cf42c6"
" \nEF Core APIs allow to work with migrations, which has the following workflow:\n1. Model(s) is(are) defined or changed\n2. A Migration file is created\n3. The migration is applied to a database or script","Entity Framework Core 2: Getting Started","Creating a Data Model and Database with EF Core","Understanding EF Core Migrations","1:55","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=fa16ecc6-d374-4ad8-af7c-55632114f53a&clip=5&mode=live&start=115.756543&noteid=1c8ef7b0-6a62-4bfb-ab90-1c1a51c9704b"
"Add-Migration: instructions to build SQL for changing the database schema to match model changes.","Entity Framework Core 2: Getting Started","Creating a Data Model and Database with EF Core","Adding Your First Migration","1:31","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=fa16ecc6-d374-4ad8-af7c-55632114f53a&clip=6&mode=live&start=91.605335&noteid=8649706c-194a-46df-aac4-ba062fdd509c"
"Update-Database: read created migration(s), creates SQL in memory applies it directly to the database.","Entity Framework Core 2: Getting Started","Creating a Data Model and Database with EF Core","Adding Your First Migration","1:43","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=fa16ecc6-d374-4ad8-af7c-55632114f53a&clip=6&mode=live&start=103.764582&noteid=6900c8fa-bf65-433a-969c-fe3fb943b129"
"Migration recommendation:\n1. For development databases, the command update-database should suffice, applying such changes leveraging the EF Core APIs directly (creates the database if it does not exist).\n2. For production databases, the command script-migration should run directly SQL generated queries, which can be manipulated by DBAs according to specific particularities of infrastructure and database logics and to when and how these executions need to be applied.","Entity Framework Core 2: Getting Started","Creating a Data Model and Database with EF Core","Using Migrations to Script or Directly Create the Database","1:02","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=fa16ecc6-d374-4ad8-af7c-55632114f53a&clip=8&mode=live&start=62.209483&noteid=3f708856-f2b8-4327-962e-382291a287a2"
"For many-to-many relationships,  Entity Framework Fluent API is used to configure domain classes to override conventions. Its mappings to into the DbContext onModelCreating method, which gets called internally (basically a hook) when EF Core is working out on what the data model looks like. Using the inner model builder object that EF COre has passed into the method, a new join entity can be created with a composed key, which is constructed from double primary keys from the models' respective identificators.","Entity Framework Core 2: Getting Started","Creating a Data Model and Database with EF Core","Adding Many-to-many and One-to-one Relationships","1:20","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=fa16ecc6-d374-4ad8-af7c-55632114f53a&clip=10&mode=live&start=80.510696&noteid=9d36062b-ac81-439c-b087-a8ba98f1c2a0"
"SaveChanges internal workflow:\n1. Examine each tracked object\n2. Read state of object\n3. Work out and construct SQL commands\n4. Execute each SQL command in the DB\n5. Capture any returned data","Entity Framework Core 2: Getting Started","Interacting with Your EF Core Data Model","Inserting Simple Objects","2:39","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=a8650be5-1b3b-4a8b-8fed-2903e6ee349f&clip=2&mode=live&start=159&noteid=1604232c-c9cf-474e-9565-eb69155b969c"
"Batch operation batch size:\n- The default size is set by the database provider. For example, SQL server has a limitation of 1000 commands in a batch\n- Additional commands will be sent in extra batches (3000 commands will be divided in 3 batches for SQL Server)\n- Batch size can be overridden in DbContext OnConfiguring method: UseSqlServer(connectionString, options => options.MaxBatchSize(150));","Entity Framework Core 2: Getting Started","Interacting with Your EF Core Data Model","Batching Commands When Saving","2:53","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=a8650be5-1b3b-4a8b-8fed-2903e6ee349f&clip=3&mode=live&start=173&noteid=f95589d5-8240-4789-8be5-974fab91e2c0"
"Methods to load related data:\n1. Eager loading: leveraging DbSet include method to retrieve all data (related and normal) on the same call\n2. Query projections: possibility to shape the query results according to the relational graph desired\n3. Explicit loading: gets related data in the database taking into consideration that some data objects are already in memory\n4. Lazy loading: related data is retrieved on-the-fly, which means that the data appears only when the request is executed","Entity Framework Core 2: Getting Started","Querying and Saving Related Data","Eager Loading Related Data","0:24","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=ac744258-2936-4730-8b8b-2a491b1d4b45&clip=2&mode=live&start=24&noteid=51dcfca9-77b2-49ed-b542-7e21cc369e80"
"Include methods can only be executed with DbSet or FromSql, since it needs to come from a list of entities, which is not the case (and therefore not allowed) for LINQ methods and Find method.","Entity Framework Core 2: Getting Started","Querying and Saving Related Data","Eager Loading Related Data","2:46","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=ac744258-2936-4730-8b8b-2a491b1d4b45&clip=2&mode=live&start=166&noteid=60ce7093-bc55-4a1d-acea-3cf45729ad72"
"DbSet keeps track of changes inside the context ChangeTracker.StateManager object (it can be seen in the property ChangedCount).","Entity Framework Core 2: Getting Started","Querying and Saving Related Data","Modifying Related Data","2:36","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=ac744258-2936-4730-8b8b-2a491b1d4b45&clip=5&mode=live&start=156&noteid=e60957e3-3000-4ca8-b12a-e925ae65015d"
"For more control over the graph modifications, instead of using native DbSet add, update and remove methods, one can use the DbContext entry method, which will focus/isolate specifically on the entry that has been passed and not on the attached/related entities inside.","Entity Framework Core 2: Getting Started","Querying and Saving Related Data","Review and Resources","3:34","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=ac744258-2936-4730-8b8b-2a491b1d4b45&clip=6&mode=live&start=214&noteid=6de73440-991d-4af0-85b5-9f1a7902083c"
"DbContext has a method called DetectChanges that periodically fixes up the state of entities in the change tracker, reading the actual real-time object values and updating their respective states in the change tracker. DbContext saveChanges is one of those methods that triggers the DetectChanges method.","Entity Framework Core 2: Getting Started","Using EF Core in Your Applications","Walking Through the WPF Data Access","3:39","https://app.pluralsight.com/player?course=entity-framework-core-2-getting-started&author=julie-lerman&name=597018c3-3835-4cc0-a942-5bdb0abb8c0b&clip=4&mode=live&start=219&noteid=18ceaa29-45b7-45dc-b84e-80b054d6eb0a"
